BoxGUID;ArticleGUID;Position;Description;GTIN;Quantity;Unit;ExpiryDate
00D9C7F2-FB06-48CE-522E-563381364BA6;A9ABD786-D1A5-4E47-711C-24F7F1416B44;1;Aluminium box, 80x60x63 cm;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;8F033708-0AB6-4DAE-708C-E089EACB7F02;2;Scale, Kern;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;36B0A47C-7D1E-4442-718A-88A0AAFF1E2E;2.1;Plastic Box, 30x20x18,5cm, grey, Auer;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;B29F887D-6AF6-4D30-59CC-2082648D7531;2.2;Scale, Kern, EHA 500-2;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;3E41F568-DC79-4062-5365-7B4C1D30CB7A;2.3;Power cable;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;F66676F4-EC82-4966-5004-4DA9E503EC60;2.4;Socket adapter;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;988B8772-C944-4294-9B63-036AAF0DE33D;2.5;Manual;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;2A18E31E-3A7E-489D-7718-20CFE23DD66B;3;Photometer, 7500 ;;1;kit;
00D9C7F2-FB06-48CE-522E-563381364BA6;DB4BC75D-EFE6-4134-967B-9C1040B2FB83;3.1;Photometer, 7500 Bluetooth, Palintest;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;22AF6AAF-C37B-42F2-5B4C-44A43A54952D;3.10;Operation Manual, photometer, 7500 Bluetooth;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;5585E706-A564-49EC-7D16-C6D63488C389;3.11;Map for manuals;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;F88019D1-0B78-4BFE-741E-2C5643123D19;3.12;Cleaning swipe, blue;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;771FD1FE-8FEC-4785-5A47-80B489D34708;3.13;Cleaning swipe, white;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;DB215167-D53E-4172-52FC-B034F9C974FC;3.2;USB 2.0 cable, 1,8m;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;AF729879-0F93-4DDF-8995-06FC17A5D9A9;3.3;Syringe, 10 ml, plastic;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;EB2A596E-E383-4B52-56B9-A635AEB2595D;3.4;Tube with cap, 10ml, glass;;8;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;6A39039C-D96C-471C-9FF7-7076F148F2B7;3.5;Tube with cap, 100ml, plastic;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;A6610E43-2636-4102-8C0E-9512E4B9F27C;3.6;Stirring rod, 10cm, plastic;;10;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;250F35F7-970F-4A8B-5313-E3FEDBCA0BEF;3.7;Brush, 12cm;;2;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;705020FB-E6DE-47BD-5F0B-7677B286E7B9;3.8;Cap, for photometer, 7500 bluetooth;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;14C658E0-88CF-4411-9BE8-5D28FCBCFB5D;3.9;Photometer test Instruction;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;96327BC1-4C68-4958-5B3A-87D7BFC770C1;4;Lab equipment;;1;kit;
00D9C7F2-FB06-48CE-522E-563381364BA6;D446785C-D2C7-4385-7A7F-5D2BA0F43426;4.1;Plastic Box, 60x40x23cm, grey, Auer;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;B708A9BB-AC26-4937-5EE0-8D1E85CF405D;4.10;Beaker, 1000ml, plastic, with spout;;6;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;C67E9DCC-DC93-490D-5BCA-975C1158C710;4.11;Dilution tube, 100ml, with cap, Palintest;;11;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;2B04CF99-55AF-4974-7880-9C107C3BC5E2;4.12;Fork;;2;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;F75869CE-FAED-4D00-7A18-BFE6761DD14A;4.13;Syringe, 10ml, plastic;;3;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;B22AC48B-5F96-49AD-5B81-936D744B9B0C;4.14;Funnel;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;7FFBD9E5-8F27-4A66-83F4-56E0F5F7FD09;4.15;Measuring cylinder, 50:1ml, poly base;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;442E3E65-C81F-4452-806B-79EC1AEF4048;4.16;Measuring cylinder, 10ml, blue grad., poly base;;2;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;F322FAAB-3B85-4661-54D5-7C81D1EADCDD;4.2;Measuring cylinder, 100ml, ring grad, poly base;;2;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;8B898FE2-A3E9-462C-5CC6-BEB2EA26EA93;4.3;Measuring cylinder, 50ml, blue grad., poly base;;2;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;96F6E1C5-53DC-4E1A-5C97-8894EE708D44;4.4;Beaker, tall tall form, with spout, 100ml;;20;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;6824ACB3-2756-4061-768B-B2E4EFFDEB5E;4.5;Narrow neck bottle, 1000ml, plastic, with cap;;6;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;D54A384A-3555-44A8-56A7-2D6EE8ED57DD;4.6;Forceps, straight, anatomical, 145mm;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;D5A5876D-18A3-4E9C-873F-F38068804276;4.7;Micro spoon, 150mm;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;2DCDF830-F9C6-4035-74B5-DDD709284FD9;4.8;Thermometer, 30cm, analog;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;4A9A35FA-C749-4FAC-7755-F4AFBE4E75CB;4.9;Squirt bottle, 500ml, plastic;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;44412BA0-A656-43AF-9AED-9093C90DC64A;5;Lab PPE;;1;set;
00D9C7F2-FB06-48CE-522E-563381364BA6;08D17E95-0F43-46D3-50A1-174E5A572CAA;5.1;Plastic Box, 40x30x23,5cm, grey, Auer;;1;pcs;
00D9C7F2-FB06-48CE-522E-563381364BA6;FE645108-C0FA-43DE-77A7-5E258137C64B;5.2;Gloves, single use, latex, powderfree, large, 100pc;;1;pcs;2025-01-31 00:00:00
00D9C7F2-FB06-48CE-522E-563381364BA6;3A32D691-E917-48CA-8EB3-EF0A3D56A21E;5.3;Gloves, single use, latex, powderfree, medium, 100pc;;1;pcs;2025-03-31 00:00:00
